Frame,Emotion,Confidence (%)
0,neutral,60.005344
2,angry,43.11465
4,neutral,88.97017
6,neutral,53.1829
8,happy,94.595085
10,happy,71.1324
12,sad,93.52967
16,happy,99.350716
18,happy,98.32964
20,happy,96.73771
22,happy,99.11216
24,happy,97.579666
26,happy,71.546844
28,happy,99.91557
30,neutral,94.65365
32,neutral,69.689575
34,neutral,56.75835
36,neutral,78.423355
38,neutral,77.52614
40,neutral,70.82729
42,angry,81.30632
44,neutral,57.079594
46,neutral,68.88672
48,fear,48.791096
50,fear,38.72424
52,neutral,56.445755
54,neutral,93.25573
56,fear,85.629
58,fear,50.820175
60,fear,70.01667
62,fear,71.23452
64,fear,91.37934
66,angry,45.972767
68,fear,96.37182
70,fear,90.62477
72,neutral,44.09868
74,angry,54.31438
76,fear,94.34578
78,fear,91.34354
80,neutral,99.95463
82,neutral,91.04502
84,neutral,98.515816
86,neutral,93.0454
88,neutral,92.73387
90,neutral,97.80322
92,neutral,94.02626
94,neutral,98.923386
96,fear,97.81908
98,fear,64.53207
100,neutral,86.54469
102,neutral,75.223915
104,fear,50.476727
106,neutral,94.220795
108,neutral,54.622643
110,neutral,88.751686
112,neutral,90.49677
114,sad,51.2595
116,neutral,87.0356
118,neutral,95.99919
120,neutral,90.3905
122,neutral,66.26174
124,neutral,87.08893
126,neutral,89.17394
128,neutral,92.095
130,neutral,70.08181
132,sad,67.66724
134,neutral,61.92447
136,neutral,94.22984
138,neutral,83.993515
140,neutral,58.67501
142,sad,71.90715
144,neutral,44.223465
146,sad,84.96166
148,neutral,51.148235
150,angry,57.91604
152,neutral,67.498985
154,sad,79.33353
156,neutral,57.193504
158,neutral,58.961727
160,neutral,72.22608
162,neutral,47.735645
164,neutral,59.080444
166,angry,76.39677
168,neutral,57.112522
170,neutral,90.05037
172,neutral,61.497627
174,neutral,85.90953
176,neutral,84.63457
178,neutral,93.00551
180,neutral,94.45352
182,sad,61.305363
184,neutral,82.30613
186,neutral,58.572163
188,neutral,66.82282
190,neutral,55.357956
192,neutral,63.83041
194,neutral,99.41109
196,sad,66.21097
198,neutral,70.67192
200,sad,69.62071
202,neutral,71.91014
204,neutral,59.944664
206,sad,85.89389
208,neutral,53.05498
210,sad,73.523384
212,fear,73.173805
214,sad,57.28404
216,neutral,82.468445
218,neutral,94.33522
220,fear,75.45337
222,fear,74.372284
224,neutral,35.857635
226,neutral,80.72278
228,angry,44.442463
230,sad,93.748344
232,sad,44.61043
234,angry,68.81847
236,angry,65.08969
238,fear,43.18054
240,sad,62.442165
242,sad,49.193336
244,fear,47.670574
246,angry,56.612854
248,fear,53.116714
250,neutral,47.332996
252,fear,75.43921
254,fear,61.50501
256,fear,56.41633
258,fear,56.040443
260,fear,88.33605
262,fear,84.20782
264,fear,93.760155
266,surprise,56.439064
268,fear,94.942055
270,fear,47.258198
272,fear,66.59427
274,fear,92.02717
276,fear,77.47045
278,neutral,70.25167
280,fear,64.02754
282,neutral,97.25008
284,neutral,88.45253
286,sad,47.228333
288,neutral,84.72749
290,neutral,91.614746
292,sad,45.13967
294,neutral,99.788635
296,neutral,78.51015
298,neutral,93.34418
